ID_Amostra,Tratamento,PT_g,NFC,MFC_g,NFD,MFD_g,MS_Raiz_gkg,MS_PA_gkg,N_gkg,P_gkg,K_gkg,Ca_gkg,Mg_gkg,S_gkg,pH,Acucar_Total_perc,Acidez_Tit_perc_ac_citrico,Textura_N,Pectina_Total_mg100g,Pectina_Soluvel_mg100g,Solubilidade_mg100g
1,T1_Trich_Ecofish,3189.45,12.37,2699.34,25.24,128.49,6.65,21.33,223.16,37.79,123.29,109.83,23.08,28.08,3.66,9.6,1.16,3.83,203.36,64.55,36.54
2,T1_Trich_Ecofish,2850.31,12.93,2686.69,25.67,128.76,6.48,20.64,221.22,36.17,121.99,109.83,21.75,27.36,3.6,8.77,1.17,3.93,200.44,68.61,37.71
3,T1_Trich_Ecofish,3114.63,11.96,2692.66,27.53,129.2,6.38,20.86,222.24,37.43,123.62,106.86,21.66,25.82,3.69,9.3,1.06,4.47,204.88,69.4,38.29
4,T1_Trich_Ecofish,2842.28,12.63,2717.73,25.97,128.75,6.23,20.58,221.67,36.88,123.46,113.82,22.27,27.22,3.64,9.19,1.13,4.38,194.74,68.11,36.94
5,T1_Trich_Ecofish,2932.69,12.74,2692.79,27.12,131.31,6.62,20.43,221.8,36.02,123.99,108.66,22.72,28.61,3.48,8.41,1.09,4.22,201.06,72.31,40.05
6,T1_Trich_Ecofish,3219.09,12.72,2681.32,25.15,133.9,6.41,20.11,222.4,37.73,122.19,109.03,22.49,28.63,3.54,9.13,1.09,4.04,193.38,67.32,38.75
7,T1_Trich_Ecofish,2714.0,13.12,2703.1,28.51,133.37,6.91,20.38,221.36,36.68,124.86,110.75,20.45,28.27,3.65,8.06,1.17,4.51,199.23,69.12,35.17
8,T1_Trich_Ecofish,2565.44,13.08,2699.26,24.82,134.23,7.6,21.45,220.63,38.19,123.02,114.85,20.28,27.38,3.5,9.29,1.02,3.91,200.12,71.15,39.45
9,T1_Trich_Ecofish,2821.32,12.76,2705.71,27.43,133.83,6.92,19.87,222.84,37.24,123.17,114.69,20.57,27.11,3.49,9.09,1.18,3.98,205.25,69.55,40.58
10,T1_Trich_Ecofish,3119.78,12.53,2665.64,27.85,128.86,7.36,20.33,222.08,39.37,123.82,108.08,22.61,27.25,3.56,8.42,1.01,4.04,198.65,70.29,35.46
11,T1_Trich_Ecofish,3118.2,12.67,2670.25,26.86,125.96,6.61,21.14,222.76,36.27,124.67,107.43,22.09,27.92,3.51,8.83,1.03,3.93,196.14,69.9,38.69
12,T1_Trich_Ecofish,3198.64,12.59,2715.19,26.94,128.17,6.7,20.88,221.11,37.19,123.24,110.66,23.51,27.56,3.67,9.17,1.22,4.54,206.31,69.51,35.82
13,T1_Trich_Ecofish,3165.41,12.36,2708.07,23.65,131.48,7.01,20.11,220.59,38.87,122.98,116.3,22.21,27.25,3.6,10.13,1.07,3.91,203.55,67.91,37.51
14,T1_Trich_Ecofish,2914.57,12.33,2738.9,26.58,128.62,6.6,20.79,220.93,36.25,123.13,106.76,22.37,27.71,3.69,8.49,1.08,4.23,200.16,71.81,38.75
15,T1_Trich_Ecofish,2767.37,12.58,2661.65,27.11,130.82,6.89,21.57,221.4,38.24,123.62,108.52,21.64,26.8,3.56,8.64,1.06,3.87,204.61,68.42,38.51
16,T1_Trich_Ecofish,2765.73,13.38,2699.39,25.76,130.56,6.55,20.63,221.2,35.61,123.7,110.62,23.34,29.03,3.53,9.57,1.09,4.34,198.02,69.99,37.12
17,T1_Trich_Ecofish,3356.77,13.07,2699.57,24.7,130.08,6.64,21.34,221.8,39.15,121.69,109.02,21.41,26.45,3.53,8.84,1.05,4.5,189.26,67.54,39.01
18,T1_Trich_Ecofish,2887.0,13.01,2695.64,26.36,126.8,6.87,20.05,222.13,37.84,122.38,107.81,21.05,27.63,3.49,9.29,1.11,4.81,201.67,69.25,38.94
19,T1_Trich_Ecofish,3048.64,12.71,2693.51,27.26,127.83,6.86,20.84,222.49,37.62,124.79,111.18,22.45,28.51,3.46,9.21,1.15,3.98,196.01,70.45,38.75
20,T1_Trich_Ecofish,3042.33,12.49,2676.19,27.81,136.25,6.52,21.0,222.48,39.28,121.01,108.02,22.09,26.08,3.72,9.1,1.12,4.35,200.98,71.1,37.95
21,T1_Trich_Ecofish,3136.24,12.6,2701.63,26.37,128.68,6.53,19.79,221.99,34.81,124.57,107.53,22.51,26.44,3.59,7.77,1.07,4.15,206.5,65.35,35.68
22,T1_Trich_Ecofish,2985.98,12.95,2685.99,26.75,130.03,6.96,21.09,220.92,36.7,122.38,108.64,20.62,27.61,3.77,8.93,1.06,4.28,205.07,69.45,35.44
23,T1_Trich_Ecofish,2937.37,13.39,2705.57,27.39,128.61,6.4,20.15,220.37,38.56,123.06,111.72,22.47,26.79,3.46,9.06,1.03,3.54,208.29,68.89,39.39
24,T1_Trich_Ecofish,3173.32,12.81,2696.15,26.43,131.37,6.26,21.02,221.73,35.93,123.84,105.3,22.36,26.53,3.59,8.95,1.14,3.46,203.4,68.92,35.46
25,T1_Trich_Ecofish,3091.17,12.89,2707.12,26.38,131.92,6.03,20.32,220.15,37.18,122.45,113.85,22.37,28.16,3.62,8.85,1.13,4.03,193.96,70.37,36.57
26,T1_Trich_Ecofish,3036.63,13.76,2690.44,24.74,130.93,6.56,20.9,222.52,35.68,122.63,113.04,21.56,27.06,3.6,8.55,1.09,4.63,205.11,70.15,36.9
27,T1_Trich_Ecofish,3155.59,12.75,2670.45,26.7,128.41,6.98,20.32,220.66,34.89,124.0,108.33,21.68,27.41,3.63,9.0,1.0,4.12,199.18,69.89,39.06
28,T1_Trich_Ecofish,2939.93,13.62,2697.29,25.0,132.38,6.75,20.21,222.76,37.18,122.43,113.28,22.17,26.51,3.68,8.65,1.05,4.56,197.3,67.71,38.25
29,T1_Trich_Ecofish,3162.57,12.58,2685.42,25.46,135.34,6.44,21.71,220.63,36.93,124.38,110.71,21.5,26.16,3.52,10.06,1.05,4.35,192.58,67.27,39.07
30,T1_Trich_Ecofish,3085.16,12.35,2675.78,21.95,131.34,6.6,20.88,221.15,34.78,122.7,104.67,21.99,29.35,3.58,9.75,1.16,3.81,200.88,69.64,35.96
31,T1_Trich_Ecofish,2964.46,13.45,2678.04,23.78,127.75,5.92,20.32,222.27,37.59,124.35,109.56,22.14,25.24,3.67,9.79,0.97,3.66,189.99,69.42,38.43
32,T1_Trich_Ecofish,2936.91,12.81,2700.72,24.92,132.84,6.67,20.62,221.48,37.56,121.46,113.78,23.36,26.31,3.7,8.7,1.12,3.64,200.24,65.63,37.23
33,T1_Trich_Ecofish,2914.84,13.09,2719.96,28.08,131.91,6.95,21.73,222.44,36.13,122.28,107.7,22.16,27.09,3.68,8.51,1.09,4.14,197.73,70.38,37.96
34,T1_Trich_Ecofish,2977.65,13.51,2731.27,25.19,134.68,6.51,19.93,220.67,38.55,121.54,108.41,22.04,27.71,3.63,8.6,1.07,4.13,199.43,67.55,39.92
35,T1_Trich_Ecofish,2970.02,13.44,2704.71,25.38,129.23,6.67,20.56,221.46,38.65,123.58,107.83,21.74,27.18,3.57,8.2,1.04,3.62,195.87,67.11,38.06
36,T1_Trich_Ecofish,2925.81,12.92,2712.77,25.72,132.63,6.29,20.45,221.36,37.49,123.95,113.55,21.44,25.97,3.54,9.35,1.0,3.7,207.92,69.63,39.2
37,T1_Trich_Ecofish,3007.21,12.83,2702.03,27.42,128.06,6.07,20.96,221.51,38.4,122.8,109.05,22.29,27.31,3.56,8.76,0.98,4.65,192.4,70.89,34.73
